error_type,raw_error,code_context,friendly_explanation,suggested_fix
SyntaxError,"SyntaxError: invalid syntax (<string>, line 3)","def greet(name)\n    print(f'Hello {name}')","You're missing a colon (:) at the end of your function definition.  In Python, function definitions must end with a colon before the indented body. ","Add a colon after the closing parenthesis:  def greet(name):"
NameError,"NameError: name 'pritn' is not defined","pritn('Hello World')","You tried to use 'pritn' but Python doesn't recognize it.  This looks like a typo - did you mean 'print'?","Change 'pritn' to 'print':  print('Hello World')"
IndentationError,"IndentationError: expected an indented block","def hello():\nprint('hi')","Python expected indented code after your function definition. Code inside a function must be indented (usually 4 spaces).","Add indentation before print:  def hello():\n    print('hi')"
TypeError,"TypeError: unsupported operand type(s) for +: 'int' and 'str'","age = 25\nmessage = 'Age:  ' + age","You're trying to add a number and text together, which Python can't do directly. You need to convert the number to text first.","Convert the integer to string: message = 'Age: ' + str(age)"
IndexError,"IndexError:  list index out of range","fruits = ['apple', 'banana']\nprint(fruits[5])","You're trying to access position 5 in a list that only has 2 items (positions 0 and 1). Remember, Python lists start counting from 0! ","Use a valid index (0 or 1): print(fruits[0]) or print(fruits[1])"
KeyError,"KeyError:  'age'","person = {'name': 'John'}\nprint(person['age'])","You're trying to access a key 'age' that doesn't exist in your dictionary.  The dictionary only has the key 'name'.","Add the key first or use . get(): person. get('age', 'Not found')"
ValueError,"ValueError: invalid literal for int() with base 10: 'hello'","num = int('hello')","You're trying to convert the text 'hello' to a number, but it's not a valid number.  int() can only convert numeric strings like '42'. ","Make sure the string contains only numbers: num = int('42')"
AttributeError,"AttributeError: 'list' object has no attribute 'push'","items = []\nitems.push(5)","Lists in Python don't have a 'push' method.  You're probably thinking of .append() which adds items to a list.","Use append instead: items.append(5)"
ZeroDivisionError,"ZeroDivisionError: division by zero","result = 10 / 0","You're trying to divide by zero, which is mathematically undefined. Check your divisor before dividing.","Add a check: result = 10 / x if x != 0 else 0"
ImportError,"ImportError:  cannot import name 'non_existent' from 'math'","from math import non_existent","You're trying to import 'non_existent' from the math module, but it doesn't exist there. Check the correct function name.","Check available functions: from math import sqrt, sin, cos"